,ICAO,Name,Altitude ,Latitude,Longitude,,,,,,,,,,,,,,,,,,
66,UATT,Aktobe Airport,738,50.245831,57.206661,,,,,,,,,,,,,,UATT,Aktobe Airport,738,50.245831,57.206661
67,CYKO,Akulivik Airport,75,60.818611,-78.148613,,,,,,,,,,,,,,CYKO,Akulivik Airport,75,60.818611,-78.148613
68,DNAK,Akure Airport,1100,7.246739,5.301008,,,,,,,,,,,,,,DNAK,Akure Airport,1100,7.246739,5.301008
69,BIAR,Akureyri Airport,6,65.658607,-18.072201,,,,,,,,,,,,,,BIAR,Akureyri Airport,6,65.658607,-18.072201
70,OMAL,Al Ain International Airport,869,24.26166,55.609161,,,,,,,,,,,,,,OMAL,Al Ain International Airport,869,24.26166,55.609161
71,GMTA,Al Hoceima Cherif Al Idrissi Airport,95,35.177101,-3.83952,,,,,,,,,,,,,,GMTA,Al Hoceima Cherif Al Idrissi Airport,95,35.177101,-3.83952
72,ORNI,Al Najaf International Airport,108,31.991667,44.404167,,,,,,,,,,,,,,ORNI,Al Najaf International Airport,108,31.991667,44.404167
73,OTBH,Al Udeid Air Base,130,25.114941,51.316105,,,,,,,,,,,,,,OTBH,Al Udeid Air Base,130,25.114941,51.316105
74,OEAO,Al Ula  Airport,2017,26.480862,38.116653,,,,,,,,,,,,,,OEAO,Al Ula  Airport,2017,26.480862,38.116653
75,OEWJ,Al Wajh Airport,66,26.198334,36.476112,,,,,,,,,,,,,,OEWJ,Al Wajh Airport,66,26.198334,36.476112
76,OEBA,Al-Baha Domestic Airport,5486,20.296129,41.63427,,,,,,,,,,,,,,OEBA,Al-Baha Domestic Airport,5486,20.296129,41.63427
77,OSKL,Al-Qamishli Airport,1480,37.031025,41.205559,,,,,,,,,,,,,,OSKL,Al-Qamishli Airport,1480,37.031025,41.205559
78,OEGS,Al-Qassim International Airport,2126,26.30282,43.773911,,,,,,,,,,,,,,OEGS,Al-Qassim International Airport,2126,26.30282,43.773911
79,PAUK,Alakanuk Airport,22,62.683056,-164.722198,,,,,,,,,,,,,,PAUK,Alakanuk Airport,22,62.683056,-164.722198
80,KALM,Alamogordo White Sands Regional Airport,4200,32.845833,-105.985275,,,,,,,,,,,,,,KALM,Alamogordo White Sands Regional Airport,4200,32.845833,-105.985275
81,KALS,Alamosa San Luis Valley Regional Airport,7539,37.43491,-105.865997,,,,,,,,,,,,,,KALS,Alamosa San Luis Valley Regional Airport,7539,37.43491,-105.865997
82,LEAB,Albacete Airport,2302,38.948502,-1.86352,,,,,,,,,,,,,,LEAB,Albacete Airport,2302,38.948502,-1.86352
83,YABA,Albany Airport,233,-34.939999,117.800003,,,,,,,,,,,,,,YABA,Albany Airport,233,-34.939999,117.800003
84,KALB,Albany International Airport,285,42.749111,-73.801903,,,,,,,,,,,,,,KALB,Albany International Airport,285,42.749111,-73.801903
85,KABY,Albany Southwest Georgia Regional Airport,193,31.535526,-84.193428,,,,,,,,,,,,,,KABY,Albany Southwest Georgia Regional Airport,193,31.535526,-84.193428
86,LIMG,Albenga Clemente Panero International Airport,148,44.050598,8.127428,,,,,,,,,,,,,,LIMG,Albenga Clemente Panero International Airport,148,44.050598,8.127428
87,LFAQ,Albert Picardie Airport,364,49.9715,2.69766,,,,,,,,,,,,,,LFAQ,Albert Picardie Airport,364,49.9715,2.69766
88,LFKA,Albertville Airport,1037,45.626598,6.329078,,,,,,,,,,,,,,LFKA,Albertville Airport,1037,45.626598,6.329078
89,LFCI,Albi Le Sequestre Airport,564,43.913269,2.11675,,,,,,,,,,,,,,LFCI,Albi Le Sequestre Airport,564,43.913269,2.11675
90,KABQ,Albuquerque International Airport,5355,35.040218,-106.609001,,,,,,,,,,,,,,KABQ,Albuquerque International Airport,5355,35.040218,-106.609001
91,YMAY,Albury Airport,539,-36.067699,146.957993,,,,,,,,,,,,,,YMAY,Albury Airport,539,-36.067699,146.957993
92,UEEA,Aldan Airport,2241,58.602772,125.408798,,,,,,,,,,,,,,UEEA,Aldan Airport,2241,58.602772,125.408798
93,EGJA,Alderney Airport,283,49.706745,-2.214291,,,,,,,,,,,,,,EGJA,Alderney Airport,283,49.706745,-2.214291
94,SSLT,Alegrete Novo Airport,459,-29.8127,-55.893398,,,,,,,,,,,,,,SSLT,Alegrete Novo Airport,459,-29.8127,-55.893398
95,OSAP,Aleppo International Airport,1276,36.180672,37.22435,,,,,,,,,,,,,,OSAP,Aleppo International Airport,1276,36.180672,37.22435
96,CYLT,Alert Airport,100,82.517776,-62.280556,,,,,,,,,,,,,,CYLT,Alert Airport,100,82.517776,-62.280556
97,ENAL,Alesund Vigra Airport,69,62.560371,6.110164,,,,,,,,,,,,,,ENAL,Alesund Vigra Airport,69,62.560371,6.110164
