,ICAO,Name,Altitude ,Latitude,Longitude,,,,,,,,,,,,,,,,,,
3023,ROMD,Minamidaito Airport,167,25.846531,131.263397,,,,,,,,,,,,,,ROMD,Minamidaito Airport,167,25.846531,131.263397
3024,MMMT,Minatitlan Coatzacoalcos International Airport,36,18.103411,-94.580597,,,,,,,,,,,,,,MMMT,Minatitlan Coatzacoalcos International Airport,36,18.103411,-94.580597
3025,PAMH,Minchumina Airport,674,63.885136,-152.30394,,,,,,,,,,,,,,PAMH,Minchumina Airport,674,63.885136,-152.30394
3026,KMEV,Minden Tahoe Airport,4717,39,-119.75,,,,,,,,,,,,,,KMEV,Minden Tahoe Airport,4717,39,-119.75
3027,KMRJ,Mineral Point Iowa County Airport,1170,42.886944,-90.236664,,,,,,,,,,,,,,KMRJ,Mineral Point Iowa County Airport,1170,42.886944,-90.236664
3028,KMWL,Mineral Wells Airport,974,32.781601,-98.060097,,,,,,,,,,,,,,KMWL,Mineral Wells Airport,974,32.781601,-98.060097
3029,URMM,Mineralnye Vody Airport,1054,44.225071,43.081879,,,,,,,,,,,,,,URMM,Mineralnye Vody Airport,1054,44.225071,43.081879
3030,KANE,Minneapolis Anoka County Blaine Airport,912,45.145,-93.210281,,,,,,,,,,,,,,KANE,Minneapolis Anoka County Blaine Airport,912,45.145,-93.210281
3031,KMIC,Minneapolis Crystal Airport,869,45.061943,-93.353889,,,,,,,,,,,,,,KMIC,Minneapolis Crystal Airport,869,45.061943,-93.353889
3032,KFCM,Minneapolis Flying Cloud Airport,906,44.827221,-93.457222,,,,,,,,,,,,,,KFCM,Minneapolis Flying Cloud Airport,906,44.827221,-93.457222
3033,KMSP,Minneapolis Saint Paul International Airport,841,44.88195,-93.221703,,,,,,,,,,,,,,KMSP,Minneapolis Saint Paul International Airport,841,44.88195,-93.221703
3034,KARV,Minocqua Woodruff Lakeland Airport,1630,45.924168,-89.732224,,,,,,,,,,,,,,KARV,Minocqua Woodruff Lakeland Airport,1630,45.924168,-89.732224
3035,KMOT,Minot International Airport,1716,48.257629,-101.278,,,,,,,,,,,,,,KMOT,Minot International Airport,1716,48.257629,-101.278
3036,UMMS,Minsk National Airport,670,53.882462,28.030729,,,,,,,,,,,,,,UMMS,Minsk National Airport,670,53.882462,28.030729
3037,CYCH,Miramichi Airport,108,47.007771,-65.449097,,,,,,,,,,,,,,CYCH,Miramichi Airport,108,47.007771,-65.449097
3038,WBGR,Miri Airport,59,4.322014,113.986801,,,,,,,,,,,,,,WBGR,Miri Airport,59,4.322014,113.986801
3039,UERR,Mirny Airport,1156,62.534679,114.038902,,,,,,,,,,,,,,UERR,Mirny Airport,1156,62.534679,114.038902
3040,RJSM,Misawa Airport,119,40.70322,141.368301,,,,,,,,,,,,,,RJSM,Misawa Airport,119,40.70322,141.368301
3041,AYMS,Misima Island Airport,26,-10.6892,152.837997,,,,,,,,,,,,,,AYMS,Misima Island Airport,26,-10.6892,152.837997
3042,HLMS,Misrata International Airport,60,32.325558,15.059722,,,,,,,,,,,,,,HLMS,Misrata International Airport,60,32.325558,15.059722
3043,KMSO,Missoula International Airport,3206,46.916302,-114.089996,,,,,,,,,,,,,,KMSO,Missoula International Airport,3206,46.916302,-114.089996
3044,KMHE,Mitchell Municipal Airport,1304,43.775276,-98.038055,,,,,,,,,,,,,,KMHE,Mitchell Municipal Airport,1304,43.775276,-98.038055
3045,YMIP,Mitchell Plateau Airport,1064,-14.791047,125.825867,,,,,,,,,,,,,,YMIP,Mitchell Plateau Airport,1064,-14.791047,125.825867
3046,SKMU,Mitu Fabio Alberto Leon Bentley Airport,680,1.253531,-70.234001,,,,,,,,,,,,,,SKMU,Mitu Fabio Alberto Leon Bentley Airport,680,1.253531,-70.234001
3047,RJTQ,Miyakejima Airport,60,34.072659,139.560043,,,,,,,,,,,,,,RJTQ,Miyakejima Airport,60,34.072659,139.560043
3048,ROMY,Miyako Airport,150,24.782829,125.295097,,,,,,,,,,,,,,ROMY,Miyako Airport,150,24.782829,125.295097
3049,RJFM,Miyazaki Airport,20,31.87722,131.448593,,,,,,,,,,,,,,RJFM,Miyazaki Airport,20,31.87722,131.448593
3050,LKMH,Mnichovo Hradiste Airport,799,50.540024,15.006487,,,,,,,,,,,,,,LKMH,Mnichovo Hradiste Airport,799,50.540024,15.006487
3051,ENRA,Mo i Rana Airport,229,66.363876,14.30138,,,,,,,,,,,,,,ENRA,Mo i Rana Airport,229,66.363876,14.30138
3052,KCNY,Moab Canyonlands Field,4553,38.759445,-109.746109,,,,,,,,,,,,,,KCNY,Moab Canyonlands Field,4553,38.759445,-109.746109
3053,KMBY,Moberly Airport,867,39.46389,-92.426666,,,,,,,,,,,,,,KMBY,Moberly Airport,867,39.46389,-92.426666
3054,KBFM,Mobile International Airport,25,30.620049,-88.065941,,,,,,,,,,,,,,KBFM,Mobile International Airport,25,30.620049,-88.065941
3055,KMOB,Mobile Regional Airport,219,30.69141,-88.242798,,,,,,,,,,,,,,KMOB,Mobile Regional Airport,219,30.69141,-88.242798
3056,KMBG,Mobridge Municipal Airport,1693,45.544731,-100.406876,,,,,,,,,,,,,,KMBG,Mobridge Municipal Airport,1693,45.544731,-100.406876
3057,LIPM,Modena Marzaglia Airport,177,44.631397,10.808599,,,,,,,,,,,,,,LIPM,Modena Marzaglia Airport,177,44.631397,10.808599
3058,KMOD,Modesto City County Airport,99,37.625809,-120.954002,,,,,,,,,,,,,,KMOD,Modesto City County Airport,99,37.625809,-120.954002
3059,OPMJ,Moenjodaro Airport,154,27.33515,68.143051,,,,,,,,,,,,,,OPMJ,Moenjodaro Airport,154,27.33515,68.143051
3060,HCMM,Mogadishu Aden Adde International Airport,29,2.014444,45.304722,,,,,,,,,,,,,,HCMM,Mogadishu Aden Adde International Airport,29,2.014444,45.304722
3061,UMOO,Mogilev Airport,637,53.954899,30.0951,,,,,,,,,,,,,,UMOO,Mogilev Airport,637,53.954899,30.0951
3062,ZYMH,Mohe Gulian Airport,1800,52.921131,122.420593,,,,,,,,,,,,,,ZYMH,Mohe Gulian Airport,1800,52.921131,122.420593
3063,KMHV,Mojave Air and Space Port,2791,35.066666,-118.150002,,,,,,,,,,,,,,KMHV,Mojave Air and Space Port,2791,35.066666,-118.150002
3064,ENML,Molde Aro Airport,10,62.74472,7.2625,,,,,,,,,,,,,,ENML,Molde Aro Airport,10,62.74472,7.2625
3065,KMLI,Moline Quad City International Airport,581,41.448879,-90.504738,,,,,,,,,,,,,,KMLI,Moline Quad City International Airport,581,41.448879,-90.504738
3066,HKMO,Mombasa Moi International Airport,200,-4.03483,39.59425,,,,,,,,,,,,,,HKMO,Mombasa Moi International Airport,200,-4.03483,39.59425
3067,SKIO,Mompos San Bernardo Airport,65,9.259722,-74.437775,,,,,,,,,,,,,,SKIO,Mompos San Bernardo Airport,65,9.259722,-74.437775
3068,DTMB,Monastir Habib Bourguiba International Airport,9,35.758049,10.75472,,,,,,,,,,,,,,DTMB,Monastir Habib Bourguiba International Airport,9,35.758049,10.75472
3069,RJEB,Monbetsu Airport,80,44.303909,143.404007,,,,,,,,,,,,,,RJEB,Monbetsu Airport,80,44.303909,143.404007
3070,MMMV,Monclova International Airport,1864,26.95573,-101.470001,,,,,,,,,,,,,,MMMV,Monclova International Airport,1864,26.95573,-101.470001
3071,CYQM,Moncton International Airport,232,46.112221,-64.678596,,,,,,,,,,,,,,CYQM,Moncton International Airport,232,46.112221,-64.678596
3072,VYMS,Mong Hsat Airport,1884,20.517553,99.259354,,,,,,,,,,,,,,VYMS,Mong Hsat Airport,1884,20.517553,99.259354
3073,FGMY,Mongomo Mongomeyen Airport,2158,1.68363,11.024275,,,,,,,,,,,,,,FGMY,Mongomo Mongomeyen Airport,2158,1.68363,11.024275
3074,YSHK,Monkey Mia Shark Bay Airport,111,-25.893333,113.576668,,,,,,,,,,,,,,YSHK,Monkey Mia Shark Bay Airport,111,-25.893333,113.576668
3075,KTTF,Monroe Custer Airport,614,41.93935,-83.434921,,,,,,,,,,,,,,KTTF,Monroe Custer Airport,614,41.93935,-83.434921
3076,KMLU,Monroe Regional Airport,79,32.51086,-92.037598,,,,,,,,,,,,,,KMLU,Monroe Regional Airport,79,32.51086,-92.037598
3077,KMVC,Monroeville Monroe County Airport,419,31.458,-87.350998,,,,,,,,,,,,,,KMVC,Monroeville Monroe County Airport,419,31.458,-87.350998
3078,GLRB,Monrovia Roberts International Airport,31,6.233789,-10.3623,,,,,,,,,,,,,,GLRB,Monrovia Roberts International Airport,31,6.233789,-10.3623
3079,CYFJ,Mont Tremblant International Airport,825,46.409168,-74.779999,,,,,,,,,,,,,,CYFJ,Mont Tremblant International Airport,825,46.409168,-74.779999
3080,CYYY,Mont-Joli Airport,172,48.608608,-68.208,,,,,,,,,,,,,,CYYY,Mont-Joli Airport,172,48.608608,-68.208
3081,KMTP,Montauk Airport,20,41.074444,-71.923615,,,,,,,,,,,,,,KMTP,Montauk Airport,20,41.074444,-71.923615
3082,SNMA,Monte Alegre Airport,325,-1.9958,-54.0742,,,,,,,,,,,,,,SNMA,Monte Alegre Airport,325,-1.9958,-54.0742
3083,LNMC,Monte Carlo Monaco Heliport,20,43.725552,7.420278,,,,,,,,,,,,,,LNMC,Monte Carlo Monaco Heliport,20,43.725552,7.420278
3084,SBMD,Monte Dourado Serra do Areao Airport,677,-0.889839,-52.6022,,,,,,,,,,,,,,SBMD,Monte Dourado Serra do Areao Airport,677,-0.889839,-52.6022
3085,MKJS,Montego Bay Sangster International Airport,4,18.50371,-77.9133,,,,,,,,,,,,,,MKJS,Montego Bay Sangster International Airport,4,18.50371,-77.9133
3086,KMRY,Monterey Regional Airport,257,36.587002,-121.842003,,,,,,,,,,,,,,KMRY,Monterey Regional Airport,257,36.587002,-121.842003
3087,SKMR,Monteria Los Garzones Airport,36,8.823678,-75.825897,,,,,,,,,,,,,,SKMR,Monteria Los Garzones Airport,36,8.823678,-75.825897
3088,MMAN,Monterrey Del Norte International Airport,1476,25.86557,-100.237,,,,,,,,,,,,,,MMAN,Monterrey Del Norte International Airport,1476,25.86557,-100.237
3089,MMMY,Monterrey International Airport,1278,25.778481,-100.106003,,,,,,,,,,,,,,MMMY,Monterrey International Airport,1278,25.778481,-100.106003
3090,SBMK,Montes Claros Airport,2191,-16.7069,-43.818901,,,,,,,,,,,,,,SBMK,Montes Claros Airport,2191,-16.7069,-43.818901
3091,SUMU,Montevideo Carrasco International Airport,105,-34.838402,-56.0308,,,,,,,,,,,,,,SUMU,Montevideo Carrasco International Airport,105,-34.838402,-56.0308
3092,KMVE,Montevideo Chippewa County Airport,1034,44.950001,-95.716667,,,,,,,,,,,,,,KMVE,Montevideo Chippewa County Airport,1034,44.950001,-95.716667
3093,KMGJ,Montgomery Orange County Airport,365,41.516666,-74.26667,,,,,,,,,,,,,,KMGJ,Montgomery Orange County Airport,365,41.516666,-74.26667
3094,KMGM,Montgomery Regional Airport,221,32.300629,-86.393898,,,,,,,,,,,,,,KMGM,Montgomery Regional Airport,221,32.300629,-86.393898
3095,KMXO,Monticello Municipal Airport,840,42.22028,-91.16333,,,,,,,,,,,,,,KMXO,Monticello Municipal Airport,840,42.22028,-91.16333
3096,KMSV,Monticello Sullivan County International Airport,1403,41.701389,-74.794998,,,,,,,,,,,,,,KMSV,Monticello Sullivan County International Airport,1403,41.701389,-74.794998
3097,LFBK,Montlucon Gueret Airport,1320,46.223827,2.363722,,,,,,,,,,,,,,LFBK,Montlucon Gueret Airport,1320,46.223827,2.363722
3098,YMTO,Monto Airport,761,-24.8923,151.101761,,,,,,,,,,,,,,YMTO,Monto Airport,761,-24.8923,151.101761
3099,LFMT,Montpellier Mediterranee Airport,3,43.58028,3.96744,,,,,,,,,,,,,,LFMT,Montpellier Mediterranee Airport,3,43.58028,3.96744
3100,CYMX,Montreal Mirabel International Airport,270,45.681938,-74.005203,,,,,,,,,,,,,,CYMX,Montreal Mirabel International Airport,270,45.681938,-74.005203
3101,CYUL,Montreal Pierre Elliott Trudeau Airport,118,45.470551,-73.740799,,,,,,,,,,,,,,CYUL,Montreal Pierre Elliott Trudeau Airport,118,45.470551,-73.740799
3102,CYHU,Montreal Saint-Hubert Airport,90,45.517502,-73.416901,,,,,,,,,,,,,,CYHU,Montreal Saint-Hubert Airport,90,45.517502,-73.416901
3103,KMTJ,Montrose Regional Airport,5759,38.509789,-107.893997,,,,,,,,,,,,,,KMTJ,Montrose Regional Airport,5759,38.509789,-107.893997
3104,TRPG,Montserrat John A. Osborne Airport,551,16.791109,-62.193001,,,,,,,,,,,,,,TRPG,Montserrat John A. Osborne Airport,551,16.791109,-62.193001
3105,VYMY,Monywa Airport,263,22.22151,95.093979,,,,,,,,,,,,,,VYMY,Monywa Airport,263,22.22151,95.093979
3106,YOOM,Moomba Airport,143,-28.0994,140.197006,,,,,,,,,,,,,,YOOM,Moomba Airport,143,-28.0994,140.197006
3107,NTTM,Moorea Airport,9,-17.489901,-149.761002,,,,,,,,,,,,,,NTTM,Moorea Airport,9,-17.489901,-149.761002
3108,CYMJ,Moose Jaw Municipal Airport,1892,50.330269,-105.558998,,,,,,,,,,,,,,CYMJ,Moose Jaw Municipal Airport,1892,50.330269,-105.558998
3109,CYMO,Moosonee Airport,30,51.291111,-80.607697,,,,,,,,,,,,,,CYMO,Moosonee Airport,30,51.291111,-80.607697
3110,ESKM,Mora Siljan Airport,634,60.957901,14.51138,,,,,,,,,,,,,,ESKM,Mora Siljan Airport,634,60.957901,14.51138
3111,YMRB,Moranbah Airport,770,-22.058332,148.078339,,,,,,,,,,,,,,YMRB,Moranbah Airport,770,-22.058332,148.078339
3112,YMOR,Moree Airport,701,-29.496346,149.850189,,,,,,,,,,,,,,YMOR,Moree Airport,701,-29.496346,149.850189
3113,MMMM,Morelia International Airport,6033,19.849939,-101.025002,,,,,,,,,,,,,,MMMM,Morelia International Airport,6033,19.849939,-101.025002
3114,KMRN,Morganton Foothills Regional Airport,1270,35.82,-81.610001,,,,,,,,,,,,,,KMRN,Morganton Foothills Regional Airport,1270,35.82,-81.610001
3115,KMGW,Morgantown Municipal Airport,1248,39.642776,-79.915833,,,,,,,,,,,,,,KMGW,Morgantown Municipal Airport,1248,39.642776,-79.915833
3116,LFRU,Morlaix Ploujean Airport,277,48.600739,-3.81666,,,,,,,,,,,,,,LFRU,Morlaix Ploujean Airport,277,48.600739,-3.81666
3117,YMTI,Mornington Island Airport,33,-16.66,139.169998,,,,,,,,,,,,,,YMTI,Mornington Island Airport,33,-16.66,139.169998
3118,AYMR,Moro Airport,2740,-6.36333,143.238007,,,,,,,,,,,,,,AYMR,Moro Airport,2740,-6.36333,143.238007
3119,LEMO,Moron Air Base,270,37.174774,-5.615983,,,,,,,,,,,,,,LEMO,Moron Air Base,270,37.174774,-5.615983
3120,ZMMN,Mörön Airport,4272,49.6633,100.098999,,,,,,,,,,,,,,ZMMN,Mörön Airport,4272,49.6633,100.098999
3121,FMMV,Morondava Airport,30,-20.2847,44.317612,,,,,,,,,,,,,,FMMV,Morondava Airport,30,-20.2847,44.317612
3122,FMCH,Moroni Prince Said Ibrahim International Airport,93,-11.5336,43.271851,,,,,,,,,,,,,,FMCH,Moroni Prince Said Ibrahim International Airport,93,-11.5336,43.271851
3123,WAEW,Morotai Leo Wattimena Airport,49,2.045992,128.324707,,,,,,,,,,,,,,WAEW,Morotai Leo Wattimena Airport,49,2.045992,128.324707
3124,WAMP,Morowali IMIP Airport,4,-2.79929,122.141335,,,,,,,,,,,,,,WAMP,Morowali IMIP Airport,4,-2.79929,122.141335
3125,WAFO,Morowali Maleo Airport,19,-2.202111,121.661797,,,,,,,,,,,,,,WAFO,Morowali Maleo Airport,19,-2.202111,121.661797
3126,KMOX,Morris Municipal Airport,1130,45.583332,-95.916664,,,,,,,,,,,,,,KMOX,Morris Municipal Airport,1130,45.583332,-95.916664
3127,KMMU,Morristown Municipal Airport,187,40.799168,-74.415833,,,,,,,,,,,,,,KMMU,Morristown Municipal Airport,187,40.799168,-74.415833
3128,KMOR,Morristown Regional Airport,1313,36.180321,-83.375557,,,,,,,,,,,,,,KMOR,Morristown Regional Airport,1313,36.180321,-83.375557
3129,KMVL,Morrisville Stowe State Airport,732,44.537231,-72.614136,,,,,,,,,,,,,,KMVL,Morrisville Stowe State Airport,732,44.537231,-72.614136
3130,YMRY,Moruya Airport,14,-35.897701,150.144394,,,,,,,,,,,,,,YMRY,Moruya Airport,14,-35.897701,150.144394
3131,YLTV,Morwell Latrobe Regional Airport,180,-38.207199,146.470001,,,,,,,,,,,,,,YLTV,Morwell Latrobe Regional Airport,180,-38.207199,146.470001
3132,KGPH,Mosby Midwest National Air Center Airport,774,39.332706,-94.309555,,,,,,,,,,,,,,KGPH,Mosby Midwest National Air Center Airport,774,39.332706,-94.309555
3133,UUMU,Moscow Chkalovskiy Airport,499,55.8783,38.061699,,,,,,,,,,,,,,UUMU,Moscow Chkalovskiy Airport,499,55.8783,38.061699
3134,UUDD,Moscow Domodedovo International Airport,588,55.408779,37.906311,,,,,,,,,,,,,,UUDD,Moscow Domodedovo International Airport,588,55.408779,37.906311
3135,UUMO,Moscow Ostafyevo International Airport,545,55.5075,37.502499,,,,,,,,,,,,,,UUMO,Moscow Ostafyevo International Airport,545,55.5075,37.502499
3136,UUEE,Moscow Sheremetyevo International Airport,622,55.972641,37.414581,,,,,,,,,,,,,,UUEE,Moscow Sheremetyevo International Airport,622,55.972641,37.414581
3137,UUWW,Moscow Vnukovo International Airport,685,55.59153,37.261478,,,,,,,,,,,,,,UUWW,Moscow Vnukovo International Airport,685,55.59153,37.261478
3138,UUBW,Moscow Zhukovsky Airport,404,55.553333,38.151669,,,,,,,,,,,,,,UUBW,Moscow Zhukovsky Airport,404,55.553333,38.151669
3139,KMWH,Moses Lake Grant County International Airport,1189,47.20858,-119.319,,,,,,,,,,,,,,KMWH,Moses Lake Grant County International Airport,1189,47.20858,-119.319
3140,ENMS,Mosjoen Airport,237,65.783989,13.21491,,,,,,,,,,,,,,ENMS,Mosjoen Airport,237,65.783989,13.21491
3141,SBMS,Mossoro Airport,76,-5.20192,-37.3643,,,,,,,,,,,,,,SBMS,Mossoro Airport,76,-5.20192,-37.3643
3142,LQMO,Mostar International Airport,156,43.282902,17.845869,,,,,,,,,,,,,,LQMO,Mostar International Airport,156,43.282902,17.845869
3143,LFHY,Moulins Montbeugny Airport,915,46.534443,3.421667,,,,,,,,,,,,,,LFHY,Moulins Montbeugny Airport,915,46.534443,3.421667
3144,KMGR,Moultrie Municipal Airport,294,31.069445,-83.80278,,,,,,,,,,,,,,KMGR,Moultrie Municipal Airport,294,31.069445,-83.80278
3145,YMTG,Mount Gambier Airport,212,-37.740002,140.779999,,,,,,,,,,,,,,YMTG,Mount Gambier Airport,212,-37.740002,140.779999
3146,AYMH,Mount Hagen Airport,5388,-5.82678,144.295807,,,,,,,,,,,,,,AYMH,Mount Hagen Airport,5388,-5.82678,144.295807
3147,YMHL,Mount Holland Airport,1457,-32.109432,119.760208,,,,,,,,,,,,,,YMHL,Mount Holland Airport,1457,-32.109432,119.760208
3148,KVAY,Mount Holly South Jersey Regional Airport,53,39.94278,-74.845833,,,,,,,,,,,,,,KVAY,Mount Holly South Jersey Regional Airport,53,39.94278,-74.845833
3149,YBMA,Mount Isa Airport,1121,-20.663799,139.488602,,,,,,,,,,,,,,YBMA,Mount Isa Airport,1121,-20.663799,139.488602
3150,YMNE,Mount Keith Airport,1792,-27.2864,120.555,,,,,,,,,,,,,,YMNE,Mount Keith Airport,1792,-27.2864,120.555
3151,YMOG,Mount Magnet Airport,1354,-28.110001,117.839996,,,,,,,,,,,,,,YMOG,Mount Magnet Airport,1354,-28.110001,117.839996
3152,EGYP,Mount Pleasant Airport,244,-51.822701,-58.447201,,,,,,,,,,,,,,EGYP,Mount Pleasant Airport,244,-51.822701,-58.447201
3153,KMOP,Mount Pleasant Municipal Airport,750,43.621422,-84.735214,,,,,,,,,,,,,,KMOP,Mount Pleasant Municipal Airport,750,43.621422,-84.735214
3154,KMPO,Mount Pocono Municipal Airport,1916,41.133331,-75.366669,,,,,,,,,,,,,,KMPO,Mount Pocono Municipal Airport,1916,41.133331,-75.366669
3155,KMVN,Mount Vernon Airport,466,38.323055,-88.858612,,,,,,,,,,,,,,KMVN,Mount Vernon Airport,466,38.323055,-88.858612
3156,KBPK,Mountain Home Ozark Regional Airport,928,36.3689,-92.470497,,,,,,,,,,,,,,KBPK,Mountain Home Ozark Regional Airport,928,36.3689,-92.470497
3157,KNUQ,Mountain View Moffett Federal Airfield,37,37.416142,-122.049004,,,,,,,,,,,,,,KNUQ,Mountain View Moffett Federal Airfield,37,37.416142,-122.049004
3158,PAMO,Mountain Village Airport,337,62.095402,-163.682007,,,,,,,,,,,,,,PAMO,Mountain Village Airport,337,62.095402,-163.682007
3159,HTMP,Mpanda Airport,3562,-6.355285,31.084045,,,,,,,,,,,,,,HTMP,Mpanda Airport,3562,-6.355285,31.084045
3160,FAUT,Mthatha Airport,2400,-31.547899,28.67428,,,,,,,,,,,,,,FAUT,Mthatha Airport,2400,-31.547899,28.67428
3161,HTMT,Mtwara Airport,371,-10.339,40.181782,,,,,,,,,,,,,,HTMT,Mtwara Airport,371,-10.339,40.181782
3162,RKJB,Muan International Airport,51,34.991379,126.382698,,,,,,,,,,,,,,RKJB,Muan International Airport,51,34.991379,126.382698
3163,VLOS,Muang Xay Oudomsay Airport,1804,20.681999,101.993103,,,,,,,,,,,,,,VLOS,Muang Xay Oudomsay Airport,1804,20.681999,101.993103
3164,WIJB,Muara Bungo Airport,-1,-1.5425,102.182777,,,,,,,,,,,,,,WIJB,Muara Bungo Airport,-1,-1.5425,102.182777
3165,WAGB,Muara Teweh Haji Muhammad Sidik Airport,160,-1.025762,114.928772,,,,,,,,,,,,,,WAGB,Muara Teweh Haji Muhammad Sidik Airport,160,-1.025762,114.928772
3166,ZYMD,Mudanjiang Hailang Airport,-1,44.52,129.559998,,,,,,,,,,,,,,ZYMD,Mudanjiang Hailang Airport,-1,44.52,129.559998
3167,YMDG,Mudgee Airport,1545,-32.5625,149.610992,,,,,,,,,,,,,,YMDG,Mudgee Airport,1545,-32.5625,149.610992
3168,WBGK,Mukah Airport,13,2.906944,112.074997,,,,,,,,,,,,,,WBGK,Mukah Airport,13,2.906944,112.074997
3169,OYRN,Mukalla Riyan Airport,54,14.66263,49.375019,,,,,,,,,,,,,,OYRN,Mukalla Riyan Airport,54,14.66263,49.375019
3170,OPMT,Multan International Airport,403,30.20322,71.419113,,,,,,,,,,,,,,OPMT,Multan International Airport,403,30.20322,71.419113
3171,WBMU,Mulu Airport,-1,4.05,114.800003,,,,,,,,,,,,,,WBMU,Mulu Airport,-1,4.05,114.800003
3172,VABB,Mumbai Chhatrapati Shivaji International Airport,37,19.08868,72.867912,,,,,,,,,,,,,,VABB,Mumbai Chhatrapati Shivaji International Airport,37,19.08868,72.867912
3173,KMIE,Muncie Delaware County Airport,937,40.239723,-85.394447,,,,,,,,,,,,,,KMIE,Muncie Delaware County Airport,937,40.239723,-85.394447
3174,AGGM,Munda Airport,10,-8.32796,157.263,,,,,,,,,,,,,,AGGM,Munda Airport,10,-8.32796,157.263
3175,YTST,Mungalalu Truscott Airport,181,-14.089722,126.380836,,,,,,,,,,,,,,YTST,Mungalalu Truscott Airport,181,-14.089722,126.380836
3176,EDDM,Munich Airport,1487,48.353779,11.78608,,,,,,,,,,,,,,EDDM,Munich Airport,1487,48.353779,11.78608
3177,EDDG,Munster Osnabruck International Airport,160,52.13464,7.684831,,,,,,,,,,,,,,EDDG,Munster Osnabruck International Airport,160,52.13464,7.684831
3178,EDLT,Munster Telgte Airport,179,51.944511,7.774341,,,,,,,,,,,,,,EDLT,Munster Telgte Airport,179,51.944511,7.774341
3179,LEMI,Murcia Corvera International Airport,638,37.803268,-1.124536,,,,,,,,,,,,,,LEMI,Murcia Corvera International Airport,638,37.803268,-1.124536
3180,ULMM,Murmansk Airport,266,68.78167,32.75082,,,,,,,,,,,,,,ULMM,Murmansk Airport,266,68.78167,32.75082
3181,YMUI,Murray Island Airport,-1,-9.91667,144.054993,,,,,,,,,,,,,,YMUI,Murray Island Airport,-1,-9.91667,144.054993
3182,YMMI,Murrin Murrin Airport,1542,-28.704733,121.890511,,,,,,,,,,,,,,YMMI,Murrin Murrin Airport,1542,-28.704733,121.890511
3183,LTCK,Mus Airport,4157,38.747761,41.661228,,,,,,,,,,,,,,LTCK,Mus Airport,4157,38.747761,41.661228
3184,OOMS,Muscat International Airport,48,23.593269,58.284439,,,,,,,,,,,,,,OOMS,Muscat International Airport,48,23.593269,58.284439
3185,KMUT,Muscatine Municipal Airport,548,41.366669,-91.144997,,,,,,,,,,,,,,KMUT,Muscatine Municipal Airport,548,41.366669,-91.144997
3186,KMSL,Muscle Shoals Northwest Alabama Regional Airport,550,34.740002,-87.610001,,,,,,,,,,,,,,KMSL,Muscle Shoals Northwest Alabama Regional Airport,550,34.740002,-87.610001
3187,KMKG,Muskegon County Airport,629,43.169479,-86.238197,,,,,,,,,,,,,,KMKG,Muskegon County Airport,629,43.169479,-86.238197
3188,KMKO,Muskogee Davis Field Airport,592,35.653721,-95.358253,,,,,,,,,,,,,,KMKO,Muskogee Davis Field Airport,592,35.653721,-95.358253
3189,CYQA,Muskoka Airport,925,44.97472,-79.303299,,,,,,,,,,,,,,CYQA,Muskoka Airport,925,44.97472,-79.303299
3190,CZMD,Muskrat Dam Airport,911,53.816666,-91.98333,,,,,,,,,,,,,,CZMD,Muskrat Dam Airport,911,53.816666,-91.98333
3191,HTMU,Musoma Airport,3806,-1.5025,33.801941,,,,,,,,,,,,,,HTMU,Musoma Airport,3806,-1.5025,33.801941
3192,TVSM,Mustique Airport,10,12.88794,-61.180099,,,,,,,,,,,,,,TVSM,Mustique Airport,10,12.88794,-61.180099
3193,UTNM,Muynak Airport,171,43.754902,59.03178,,,,,,,,,,,,,,UTNM,Muynak Airport,171,43.754902,59.03178
3194,HTMW,Mwanza Airport,3763,-2.44448,32.932659,,,,,,,,,,,,,,HTMW,Mwanza Airport,3763,-2.44448,32.932659
3195,VYME,Myeik Airport,75,12.43979,98.621468,,,,,,,,,,,,,,VYME,Myeik Airport,75,12.43979,98.621468
3196,VYMK,Myitkyina Airport,464,25.382835,97.352791,,,,,,,,,,,,,,VYMK,Myitkyina Airport,464,25.382835,97.352791
3197,UKON,Mykolaiv International Airport,184,47.057899,31.9198,,,,,,,,,,,,,,UKON,Mykolaiv International Airport,184,47.057899,31.9198
3198,LGMK,Mykonos Island National Airport,405,37.43512,25.348101,,,,,,,,,,,,,,LGMK,Mykonos Island National Airport,405,37.43512,25.348101
3199,KMYR,Myrtle Beach International Airport,25,33.679749,-78.928299,,,,,,,,,,,,,,KMYR,Myrtle Beach International Airport,25,33.679749,-78.928299
3200,VOMY,Mysore Airport,2384,12.229991,76.653,,,,,,,,,,,,,,VOMY,Mysore Airport,2384,12.229991,76.653
3201,LGMT,Mytilene International Airport,29,39.057144,26.599037,,,,,,,,,,,,,,LGMT,Mytilene International Airport,29,39.057144,26.599037
3202,FTTJ,N'Djamena International Airport,968,12.13368,15.03401,,,,,,,,,,,,,,FTTJ,N'Djamena International Airport,968,12.13368,15.03401
3203,UWKE,Naberezhnye Chelny Begishevo Airport,643,55.564125,52.103409,,,,,,,,,,,,,,UWKE,Naberezhnye Chelny Begishevo Airport,643,55.564125,52.103409
3204,WABI,Nabire Airport,20,-3.36818,135.496399,,,,,,,,,,,,,,WABI,Nabire Airport,20,-3.36818,135.496399
3205,FQNC,Nacala Airport,410,-14.4882,40.71225,,,,,,,,,,,,,,FQNC,Nacala Airport,410,-14.4882,40.71225
